metric,source,looker_label,sc_approval,Jan 26,Feb 26,Mar 26,Apr 26,May 26,Jun 26
FTU,for_review,Golden Growth — FTU (106613),"✅ Golden Growth 106613 · Golden Growth 106613 — FTU & Returning Clients (venue visited, country dedup), ISR woltmarket. FTU / Returning Client Conversion = converted ÷ visited (MART VENUE_CONVERSION_DEDUPLICATED). Month + weekly (last 6 completed weeks).",123,117,139,140,157,144
FTU Conversion,for_review,Golden Growth — Client CVR (106613),✅ Golden Growth 106613 · FTU Conversion / New Client Conversion (country dedup),28.37,29.18,27.08,24.85,24.36,27.44
Returning Clients,for_review,Golden Growth — Returning Clients (106613),"✅ Golden Growth 106613 · Golden Growth 106613 — FTU & Returning Clients (venue visited, country dedup), ISR woltmarket. FTU / Returning Client Conversion = converted ÷ visited (MART VENUE_CONVERSION_DEDUPLICATED). Month + weekly (last 6 completed weeks).",209,204,213,233,233,229
Returning Client Conversion,for_review,Golden Growth — Client CVR (106613),✅ Golden Growth 106613 · Returning Client Conversion (country dedup),61.29,60.04,55.52,54.91,59.94,61.23
Sold from selection — sold_from_selection_perc,looker_not_approved,Purchases (exploration) — Sold from Selection %,ממתין לאימות · exploration Purchases V ✅ · ממתין לאימות שלך — Looker מאושר: wolt_market_exploration/wolt_market_purchases (V ✅). לא להשתמש ב-wolt_market_data/wolt_market_purchases (לא מאושר). בחר וריאנט בדשבורד האינטראקטיבי לאחר פגישה עם המנהל.,89.8,82.18,90.6,90.49,90.18,89.59
Sold from selection — sold_from_product_selection_perc,looker_not_approved,Purchases (exploration) — Sold from Product Selection %,ממתין לאימות · exploration Purchases V ✅ · ממתין לאימות שלך — Looker מאושר: wolt_market_exploration/wolt_market_purchases (V ✅). לא להשתמש ב-wolt_market_data/wolt_market_purchases (לא מאושר). בחר וריאנט בדשבורד האינטראקטיבי לאחר פגישה עם המנהל.,86.34,79.34,85.7,90.75,89.3,89.31
